age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,261,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,149,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,226,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,307,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,198,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
24,380,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
25,50,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,55,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
25,222,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
29,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,146,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,312,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,440,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,353,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,38,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,262,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,342,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,99,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,93,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,233,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,255,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,362,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,348,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,386,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,73,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,230,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,336,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,365,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,1666,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,577,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,314,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,188,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,22,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,616,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,355,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,225,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,266,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
60,253,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,179,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,269,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,135,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,161,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,787,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,145,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
25,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,449,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,812,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,164,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
