Dataset,Classifier_Name,CV_mean,CV_std,Test_score
Skyserver,_LR,0.7965,0.013167194082263689,0.798
Skyserver,StandardScaler_LR,0.9552499999999998,0.006118619125260207,0.9565
Skyserver,MinMaxScaler_LR,0.895125,0.00959247752147484,0.8945
Skyserver,MaxAbsScaler_LR,0.87475,0.008958236433584451,0.8755
Skyserver,RobustScaler_LR,0.97475,0.005910795208768465,0.9785
Skyserver,QuantileTransformer-Normal_LR,0.9710000000000001,0.005147815070493497,0.9715
Skyserver,QuantileTransformer-Uniform_LR,0.9546249999999998,0.004331930862790868,0.9565
Skyserver,PowerTransformer-Yeo-Johnson_LR,0.9780000000000001,0.005279678020485721,0.9785
Skyserver,Normalizer_LR,0.797875,0.01245052709727584,0.7985
,,,,
Skyserver,_LR-PCA,0.7965,0.013167194082263689,0.798
Skyserver,StandardScaler_LR-PCA,0.8474999999999999,0.01096870548424014,0.8415
Skyserver,MinMaxScaler_LR-PCA,0.796875,0.013029413839463386,0.7975
Skyserver,MaxAbsScaler_LR-PCA,0.797125,0.01263737017737472,0.7975
Skyserver,RobustScaler_LR-PCA,0.9572500000000002,0.007842193570679062,0.965
Skyserver,QuantileTransformer-Normal_LR-PCA,0.821875,0.013325844250928334,0.816
Skyserver,QuantileTransformer-Uniform_LR-PCA,0.821,0.012597122687344128,0.8205
Skyserver,PowerTransformer-Yeo-Johnson_LR-PCA,0.625375,0.01834606565452114,0.9205
Skyserver,Normalizer_LR-PCA,0.797875,0.01245052709727584,0.7985
,,,,
Skyserver,_LDA,0.9187500000000002,0.009953014618697183,0.912
Skyserver,StandardScaler_LDA,0.9115000000000002,0.008173891362135902,0.9065
Skyserver,MinMaxScaler_LDA,0.9115000000000002,0.008173891362135902,0.9065
Skyserver,MaxAbsScaler_LDA,0.9115000000000002,0.008173891362135902,0.9065
Skyserver,RobustScaler_LDA,0.9115000000000002,0.008173891362135902,0.9065
Skyserver,QuantileTransformer-Normal_LDA,0.96975,0.004322904116447628,0.968
Skyserver,QuantileTransformer-Uniform_LDA,0.96775,0.00604152298679728,0.969
Skyserver,PowerTransformer-Yeo-Johnson_LDA,0.9627500000000001,0.005777110004145669,0.975
Skyserver,Normalizer_LDA,0.90525,0.008511022265274597,0.912
,,,,
Skyserver,_LDA-PCA,0.78625,0.013601470508735457,0.744
Skyserver,StandardScaler_LDA-PCA,0.8376250000000001,0.012911356435324676,0.834
Skyserver,MinMaxScaler_LDA-PCA,0.790875,0.013953606164715979,0.792
Skyserver,MaxAbsScaler_LDA-PCA,0.7775000000000001,0.012221906561580318,0.771
Skyserver,RobustScaler_LDA-PCA,0.85275,0.010706306552681927,0.8485
Skyserver,QuantileTransformer-Normal_LDA-PCA,0.8246249999999999,0.015602984490154443,0.8155
Skyserver,QuantileTransformer-Uniform_LDA-PCA,0.812875,0.012699040318071267,0.808
Skyserver,PowerTransformer-Yeo-Johnson_LDA-PCA,0.6236250000000001,0.018911388764445626,0.907
Skyserver,Normalizer_LDA-PCA,0.797875,0.01245052709727584,0.7985
,,,,
Skyserver,_KNN,0.7827500000000001,0.012695963925594602,0.793
Skyserver,StandardScaler_KNN,0.90425,0.006736096792653728,0.902
Skyserver,MinMaxScaler_KNN,0.877375,0.009754005587449684,0.8865
Skyserver,MaxAbsScaler_KNN,0.868625,0.009754005587449687,0.876
Skyserver,RobustScaler_KNN,0.952625,0.0051371806470086314,0.9525
Skyserver,QuantileTransformer-Normal_KNN,0.9438749999999999,0.009260973220995726,0.9505
Skyserver,QuantileTransformer-Uniform_KNN,0.9552500000000002,0.006169481339626548,0.956
Skyserver,PowerTransformer-Yeo-Johnson_KNN,0.955875,0.00450867219921785,0.965
Skyserver,Normalizer_KNN,0.7825,0.014097872179871697,0.7925
,,,,
Skyserver,_KNN-PCA,0.782125,0.012918615444388762,0.794
Skyserver,StandardScaler_KNN-PCA,0.8457500000000001,0.008699856320652651,0.8485
Skyserver,MinMaxScaler_KNN-PCA,0.804875,0.013421647626129955,0.8125
Skyserver,MaxAbsScaler_KNN-PCA,0.7785,0.014435200033252035,0.7905
Skyserver,RobustScaler_KNN-PCA,0.970375,0.006276195105316598,0.972
Skyserver,QuantileTransformer-Normal_KNN-PCA,0.8605,0.008771402396424412,0.8585
Skyserver,QuantileTransformer-Uniform_KNN-PCA,0.8665,0.011575836902790213,0.8695
Skyserver,PowerTransformer-Yeo-Johnson_KNN-PCA,0.8225,0.013062350477613132,0.932
Skyserver,Normalizer_KNN-PCA,0.7821250000000001,0.01326473237573983,0.794
,,,,
Skyserver,_CART,0.9851249999999998,0.0032811011871016734,0.985
Skyserver,StandardScaler_CART,0.9847499999999998,0.002893959225697557,0.985
Skyserver,MinMaxScaler_CART,0.98475,0.002947456530637926,0.984
Skyserver,MaxAbsScaler_CART,0.98475,0.002947456530637926,0.984
Skyserver,RobustScaler_CART,0.9847499999999998,0.002893959225697557,0.985
Skyserver,QuantileTransformer-Normal_CART,0.985125,0.003033665274877908,0.985
Skyserver,QuantileTransformer-Uniform_CART,0.985,0.0032113081446663,0.985
Skyserver,PowerTransformer-Yeo-Johnson_CART,0.984375,0.003801726581436387,0.9855
Skyserver,Normalizer_CART,0.719125,0.015612995388457653,0.7385
,,,,
Skyserver,_CART-PCA,0.7074999999999999,0.011250000000000013,0.722
Skyserver,StandardScaler_CART-PCA,0.80375,0.02020983671383813,0.8105
Skyserver,MinMaxScaler_CART-PCA,0.7462500000000001,0.01644118304745738,0.764
Skyserver,MaxAbsScaler_CART-PCA,0.7183750000000001,0.020325860990373815,0.7345
Skyserver,RobustScaler_CART-PCA,0.9710000000000001,0.003944933459514874,0.9795
Skyserver,QuantileTransformer-Normal_CART-PCA,0.8182499999999999,0.014771171246722462,0.8255
Skyserver,QuantileTransformer-Uniform_CART-PCA,0.818,0.015483862567202009,0.8195
Skyserver,PowerTransformer-Yeo-Johnson_CART-PCA,0.803125,0.009391651878130904,0.909
Skyserver,Normalizer_CART-PCA,0.718375,0.015125000000000008,0.741
,,,,
Skyserver,_NB,0.79625,0.012784267675545583,0.7975
Skyserver,StandardScaler_NB,0.9420000000000002,0.006523994175349941,0.947
Skyserver,MinMaxScaler_NB,0.9417500000000001,0.006642665127793205,0.947
Skyserver,MaxAbsScaler_NB,0.9417500000000001,0.006642665127793205,0.947
Skyserver,RobustScaler_NB,0.9420000000000002,0.006523994175349941,0.947
Skyserver,QuantileTransformer-Normal_NB,0.924625,0.011096874559983086,0.9145
Skyserver,QuantileTransformer-Uniform_NB,0.9241249999999999,0.012209755321053728,0.9155
